A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" thank you amy reynolds for the tremendous amount of work you did on my house it is difficult to keep up since i'm so severely allergic to dust and the outside pollen farmlife where would i be without my xyzal ",40,66.46,30.86,59.88,2.89,40.00,20.00,82.50,62.50,17.50,15.00,10.00,0.00,5.00,0.00,0.00,2.50,5.00,22.50,12.50,5.00,5.00,2.50,17.50,2.50,0.00,2.50,0.00,2.50,7.50,2.50,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,7.50,0.00,2.50,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,2.50,0.00,2.50,0.00,0.00,7.50,0.00,2.50,2.50,0.00,2.50,2.50,15.00,0.00,12.50,0.00,10.00,2.50,2.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00
" nad finds chattem has reasonable basis for claims that xyzal allergy  hr is ucnearly half the sizeud of zyrtecud but recommended change to disclosuren",24,93.26,79.76,48.89,25.77,24.00,29.17,75.00,33.33,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,12.50,8.33,0.00,4.17,0.00,12.50,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,8.33,0.00,4.17,4.17,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" thought my allergies were doing good but only a few days without xyzal (hasn't been delivered because of the weather) and i'm back to allergic conjunctivitis and swelling everywhere",29,11.27,1.00,98.71,85.87,29.00,34.48,89.66,62.07,6.90,6.90,6.90,0.00,0.00,0.00,0.00,0.00,6.90,10.34,17.24,10.34,13.79,6.90,20.69,3.45,0.00,0.00,0.00,3.45,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.69,3.45,3.45,0.00,0.00,3.45,10.34,0.00,0.00,0.00,0.00,10.34,0.00,10.34,0.00,0.00,3.45,0.00,0.00,0.00,3.45,0.00,6.90,6.90,0.00,13.79,3.45,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,6.90,0.00
" and none of the usual remedies are working now i'm just washing zyrtec down with wine and hoping to sleep thru spring ",22,80.14,18.16,31.94,94.75,22.00,13.64,90.91,59.09,4.55,4.55,4.55,0.00,0.00,0.00,0.00,0.00,4.55,22.73,9.09,9.09,9.09,4.55,22.73,4.55,0.00,0.00,0.00,4.55,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,13.64,4.55,4.55,0.00,4.55,9.09,0.00,4.55,4.55,0.00,0.00,0.00,13.64,4.55,18.18,0.00,4.55,13.64,4.55,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00
" screw that just download the zyrtec i live in the allergy capitol of theudcudf0eamp; after yrs of spendin a fortune trying figure out my allergies i gave up i take  zyrtec every morn sudafed xs a dayamp; flonase xs a dayall low dosehaven't had an attack in yrsuddudcd",48,99.00,20.24,84.47,1.00,48.00,22.92,72.92,41.67,10.42,8.33,8.33,0.00,0.00,0.00,0.00,2.08,12.50,14.58,2.08,2.08,0.00,0.00,10.42,2.08,2.08,0.00,0.00,2.08,6.25,0.00,6.25,0.00,4.17,2.08,2.08,0.00,0.00,0.00,0.00,6.25,2.08,0.00,0.00,2.08,2.08,0.00,0.00,0.00,0.00,0.00,10.42,0.00,8.33,2.08,0.00,10.42,0.00,2.08,6.25,2.08,0.00,4.17,4.17,0.00,16.67,0.00,10.42,6.25,0.00,0.00,0.00,2.08,0.00,0.00,2.08,2.08,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,2.08,0.00,0.00
" living in a zyrtec d haze perfect for an airplane nap uddude becausetexas ",13,99.00,50.00,1.40,99.00,13.00,23.08,53.85,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,7.69,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" nad finds chattem has reasonable basis for claims that xyzal allergy  hr is ucnearly half the sizeud of zyrtecud but recommended change to disclosuren",24,93.26,79.76,48.89,25.77,24.00,29.17,75.00,33.33,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,12.50,8.33,0.00,4.17,0.00,12.50,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,8.33,0.00,4.17,4.17,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" this guy at the store sneezed and heus all sniffin like uci forgot to take my zyrtec this morningud n i explained to him i use to have horrible allergies but after detoxin i never got them again i thought it was just something i had to ucdealud with no i changed my eating habits",55,32.58,10.17,91.12,5.95,55.00,20.00,87.27,58.18,25.45,18.18,14.55,0.00,0.00,1.82,1.82,7.27,1.82,14.55,5.45,5.45,3.64,3.64,20.00,3.64,3.64,0.00,0.00,1.82,1.82,0.00,1.82,1.82,0.00,0.00,7.27,0.00,1.82,0.00,3.64,14.55,3.64,3.64,0.00,1.82,3.64,1.82,1.82,0.00,0.00,0.00,5.45,0.00,3.64,0.00,1.82,3.64,0.00,0.00,0.00,3.64,0.00,10.91,5.45,0.00,10.91,1.82,1.82,7.27,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i had that reaction a while backi was using the dove one i thought was good for sensitive skin (spoiler a fuckton of people are allergic to that)nnthe cerave body wash is pretty legit thonnzyrtec up friend feel better",40,83.17,50.00,15.86,99.00,40.00,17.50,82.50,42.50,10.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,7.50,10.00,12.50,0.00,2.50,0.00,22.50,7.50,2.50,0.00,2.50,0.00,10.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,2.50,0.00,0.00,12.50,5.00,5.00,0.00,2.50,0.00,0.00,5.00,0.00,0.00,5.00,10.00,5.00,5.00,0.00,0.00,10.00,2.50,2.50,2.50,5.00,0.00,7.50,10.00,0.00,5.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00
" you can become dependent on zyrtec and have itchy withdrawals from the allergy drug zyrtech is not addictive but the bodies histamine receptors can become accustomed to always having it present  and itchy anxious withdrawals are 'absolute hell'  butu  ",39,43.96,30.40,30.55,1.00,39.00,30.77,79.49,48.72,5.13,2.56,0.00,0.00,2.56,0.00,0.00,2.56,5.13,7.69,20.51,0.00,7.69,2.56,15.38,2.56,0.00,0.00,0.00,0.00,5.13,0.00,5.13,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,15.38,5.13,0.00,0.00,0.00,5.13,5.13,5.13,0.00,0.00,5.13,15.38,7.69,12.82,0.00,0.00,2.56,0.00,0.00,2.56,0.00,0.00,0.00,20.51,0.00,7.69,0.00,2.56,5.13,0.00,0.00,0.00,0.00,2.56,0.00,2.56,2.56,0.00,0.00,0.00,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,0.00
" same i have four now had two then allegra or zyrtec or fexofenadine ( canut remember the brand name) might work better than benadryl without the sleepy side affects i am impressed with how much the allergen febreeze helps the situation",40,66.46,15.86,74.76,99.00,40.00,25.00,80.00,45.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,7.50,10.00,5.00,10.00,2.50,17.50,10.00,7.50,2.50,5.00,2.50,7.50,7.50,0.00,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00,20.00,2.50,5.00,0.00,7.50,0.00,10.00,0.00,0.00,0.00,0.00,5.00,2.50,2.50,0.00,0.00,7.50,2.50,5.00,0.00,2.50,0.00,5.00,12.50,5.00,7.50,0.00,2.50,5.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00
" today i learned never go to heb on valentines before taking your allergy med and i also learned taking mg of zyrtec against pollen can cause a fucking disaster hay fever sucks ass big time",35,81.17,12.66,98.59,1.00,35.00,20.00,82.86,37.14,8.57,8.57,5.71,0.00,2.86,0.00,0.00,0.00,2.86,14.29,2.86,5.71,5.71,2.86,17.14,8.57,2.86,0.00,0.00,0.00,8.57,0.00,8.57,0.00,5.71,0.00,5.71,0.00,2.86,0.00,0.00,14.29,5.71,2.86,0.00,0.00,2.86,2.86,0.00,0.00,0.00,0.00,11.43,2.86,5.71,2.86,0.00,14.29,2.86,0.00,2.86,5.71,2.86,5.71,11.43,0.00,20.00,2.86,5.71,11.43,5.71,0.00,0.00,0.00,0.00,0.00,8.57,8.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" swear i will never miss another dose of zyrtec this weather be having me all fucked up",17,7.44,1.00,66.34,1.00,17.00,11.76,82.35,58.82,23.53,11.76,11.76,0.00,0.00,0.00,0.00,11.76,0.00,11.76,17.65,5.88,0.00,5.88,29.41,0.00,0.00,0.00,0.00,11.76,11.76,0.00,11.76,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,11.76,0.00,5.88,5.88,0.00,5.88,0.00,0.00,5.88,0.00,0.00,5.88,11.76,5.88,11.76,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" on this week's intelligent medicine radio show  sleep paralysis explained plus zyrtec withdrawal symptoms keep allergy sufferers hooked; fda warns breast implants linked to unusual type of lymphoma; antidepressants uniformly cause weight gain ",33,97.28,61.92,6.95,1.59,33.00,39.39,81.82,15.15,3.03,0.00,0.00,0.00,0.00,0.00,0.00,3.03,0.00,12.12,0.00,0.00,3.03,0.00,6.06,0.00,0.00,0.00,0.00,0.00,9.09,3.03,6.06,0.00,0.00,3.03,3.03,0.00,0.00,0.00,0.00,12.12,6.06,3.03,3.03,0.00,0.00,0.00,9.09,3.03,3.03,3.03,30.30,6.06,21.21,3.03,3.03,9.09,0.00,3.03,0.00,6.06,3.03,3.03,3.03,0.00,9.09,0.00,6.06,3.03,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,3.03,0.00,0.00
" if i took a zyrtec already yuall think  advilus will fuck with it? bc i canut sleep for shit",19,49.71,1.00,50.35,1.00,9.50,10.53,78.95,52.63,15.79,10.53,10.53,0.00,0.00,0.00,0.00,5.26,5.26,10.53,5.26,5.26,10.53,0.00,21.05,0.00,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,15.79,5.26,5.26,5.26,5.26,0.00,5.26,0.00,0.00,0.00,0.00,15.79,10.53,0.00,5.26,0.00,5.26,0.00,0.00,0.00,5.26,0.00,10.53,10.53,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,15.79,10.53,5.26,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00
" i should go to sleep but somehow  despite the zyrtec  i'm awake again for the first time all day i swear to fuck i took it too late again ;_;",29,50.74,1.00,99.00,1.00,29.00,6.90,89.66,58.62,17.24,13.79,13.79,0.00,0.00,0.00,0.00,3.45,6.90,13.79,6.90,13.79,3.45,0.00,17.24,3.45,0.00,0.00,3.45,3.45,3.45,0.00,3.45,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,17.24,0.00,0.00,3.45,3.45,3.45,6.90,0.00,0.00,0.00,0.00,6.90,3.45,0.00,3.45,0.00,6.90,0.00,3.45,0.00,3.45,0.00,3.45,10.34,0.00,24.14,3.45,0.00,20.69,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,0.00,13.79,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,3.45,0.00,3.45
" i'm taking zyrtec again tonight press f for respect so i don't sleep my entire last day off before workmagedon (mtthfsatsun) it's the only thing to kill my damn allergies so my nose doesn't run so bad it's everywhere and i don't sneeze my brain out",46,1.92,1.00,98.89,1.00,46.00,13.04,89.13,56.52,21.74,15.22,15.22,0.00,0.00,0.00,0.00,6.52,2.17,10.87,13.04,13.04,8.70,6.52,17.39,2.17,2.17,0.00,0.00,2.17,8.70,2.17,6.52,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,2.17,8.70,6.52,2.17,0.00,0.00,6.52,0.00,0.00,2.17,2.17,2.17,0.00,15.22,2.17,19.57,2.17,6.52,10.87,0.00,0.00,0.00,0.00,0.00,2.17,2.17,2.17,0.00,0.00,0.00,0.00,17.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,4.35,0.00
" okay making a note never start zyrtec ududcudffc ",8,72.69,10.58,74.76,99.00,8.00,12.50,62.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" hi ium also very allergic to cats and live with one and a good daily plan is  zyrtec in the morning with nose spray eye drops at about noon and benadryl at night wash your face morning afternoon and night vacuum often put pillowcase in plastic bag when not using it",51,78.71,57.77,91.95,62.94,51.00,13.73,84.31,43.14,3.92,1.96,0.00,0.00,1.96,0.00,0.00,1.96,3.92,15.69,1.96,9.80,11.76,1.96,11.76,1.96,0.00,1.96,1.96,0.00,1.96,1.96,0.00,0.00,0.00,0.00,3.92,0.00,0.00,0.00,0.00,5.88,0.00,1.96,0.00,1.96,0.00,1.96,3.92,1.96,0.00,0.00,11.76,5.88,5.88,0.00,0.00,5.88,1.96,1.96,0.00,1.96,0.00,0.00,5.88,1.96,27.45,1.96,7.84,17.65,0.00,0.00,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" ugh fucking hives thankfully i don't deal with them too much mostly on my forearmshands if i play rough with a friend's dog i probably take zyrtec a few times a week tho for eyessinus stuff",36,54.29,4.80,39.76,25.77,36.00,16.67,86.11,52.78,16.67,13.89,11.11,0.00,0.00,0.00,2.78,2.78,8.33,11.11,2.78,11.11,5.56,2.78,8.33,8.33,0.00,0.00,0.00,5.56,11.11,5.56,5.56,0.00,2.78,0.00,2.78,0.00,0.00,0.00,0.00,8.33,0.00,0.00,2.78,8.33,0.00,2.78,5.56,2.78,0.00,2.78,8.33,5.56,0.00,2.78,0.00,2.78,0.00,0.00,0.00,2.78,0.00,0.00,5.56,0.00,8.33,0.00,2.78,5.56,0.00,2.78,0.00,0.00,0.00,0.00,8.33,2.78,2.78,0.00,2.78,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00
" and here is reply no refund after the  spent to ride with them and my extra cost to usenan extra zyrtecnmy nasal spraynmy emergency inhalernmy prophylactic migraine medsnnwhy do i even fucking bother when nothing will change? (sry deleted to add photo bc it broke) ",45,46.37,25.24,10.08,1.00,22.50,22.22,84.44,46.67,8.89,6.67,4.44,0.00,0.00,0.00,2.22,2.22,2.22,11.11,6.67,6.67,8.89,4.44,13.33,11.11,2.22,2.22,0.00,6.67,6.67,0.00,6.67,0.00,4.44,2.22,4.44,0.00,0.00,0.00,0.00,6.67,0.00,4.44,0.00,0.00,2.22,0.00,4.44,2.22,0.00,0.00,8.89,4.44,2.22,2.22,0.00,2.22,0.00,0.00,0.00,2.22,0.00,6.67,6.67,2.22,8.89,4.44,0.00,4.44,0.00,0.00,0.00,6.67,0.00,0.00,4.44,2.22,2.22,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,0.00,4.44,0.00
" trevor's mom was recommending xyzal and said they have a  pills for  on their website right now she said it makes you sleepy but you dont wake up drowsy",29,23.57,99.00,11.50,25.77,29.00,10.34,89.66,55.17,20.69,17.24,0.00,0.00,6.90,3.45,6.90,3.45,3.45,10.34,10.34,3.45,6.90,3.45,20.69,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.03,3.45,0.00,6.90,0.00,6.90,0.00,3.45,0.00,0.00,0.00,3.45,6.90,0.00,6.90,0.00,13.79,6.90,6.90,0.00,3.45,3.45,0.00,0.00,3.45,0.00,0.00,10.34,13.79,0.00,13.79,0.00,10.34,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00
" then why am i in a small coma if i take zyrtec or xyzal? legit sleep  hours a day and tired the  ium awake ium not trying to be snarky i just need relief from the weapons grade pollen in the pnw without needing to hibernate during the few months we have sun",53,89.00,12.88,72.17,61.55,26.50,7.55,83.02,50.94,7.55,7.55,5.66,1.89,0.00,0.00,0.00,0.00,11.32,13.21,5.66,3.77,7.55,3.77,13.21,7.55,0.00,1.89,0.00,1.89,5.66,3.77,1.89,0.00,1.89,0.00,3.77,0.00,1.89,0.00,0.00,15.09,0.00,1.89,5.66,5.66,0.00,7.55,0.00,0.00,0.00,0.00,5.66,1.89,3.77,0.00,0.00,7.55,1.89,1.89,1.89,1.89,0.00,0.00,9.43,1.89,16.98,0.00,5.66,11.32,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00
" hello in clinical studies  of those who took xyzal experienced drowsiness while that's a small percentage it is recommended that while taking xyzal you avoid alcohol sedatives and tranquilizers to minimize the risk of unwanted drowsiness",36,69.30,91.75,1.79,2.09,36.00,33.33,88.89,44.44,16.67,2.78,0.00,0.00,2.78,0.00,0.00,13.89,5.56,11.11,5.56,0.00,8.33,0.00,11.11,5.56,0.00,2.78,0.00,2.78,8.33,2.78,5.56,5.56,0.00,0.00,11.11,0.00,0.00,0.00,0.00,2.78,0.00,0.00,2.78,0.00,0.00,0.00,2.78,0.00,0.00,0.00,11.11,0.00,11.11,0.00,2.78,19.44,2.78,0.00,5.56,5.56,8.33,2.78,5.56,0.00,11.11,0.00,5.56,5.56,2.78,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00
" fortunately the xyzal ium using seems to be keeping the live oak at bay chlorpheniramine is my fallback though itus getting harder to find diphenhydramine is last resort it messes with my sleep",33,80.14,18.16,51.41,80.64,33.00,18.18,66.67,42.42,9.09,6.06,6.06,0.00,0.00,0.00,0.00,3.03,6.06,12.12,9.09,6.06,3.03,0.00,24.24,3.03,3.03,0.00,0.00,0.00,3.03,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.12,6.06,3.03,0.00,3.03,0.00,3.03,3.03,0.00,0.00,3.03,6.06,3.03,3.03,0.00,0.00,3.03,0.00,0.00,0.00,3.03,0.00,0.00,18.18,0.00,6.06,0.00,3.03,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" any pain killer makes my dreams crazy  hence why even after knee surgery i never took them ( percocet )  i am allergic to some allergy meds  they make my hands itch lol  so i take xyzal  instead of the claratins etc  i have no doubt weird dreams are a direct side effect ",51,27.29,8.51,66.34,1.00,51.00,11.76,90.20,45.10,15.69,15.69,11.76,0.00,0.00,0.00,3.92,0.00,3.92,5.88,5.88,11.76,1.96,3.92,13.73,5.88,1.96,1.96,0.00,3.92,11.76,1.96,9.80,1.96,1.96,0.00,3.92,0.00,0.00,0.00,0.00,19.61,1.96,9.80,0.00,5.88,1.96,1.96,5.88,0.00,0.00,5.88,13.73,5.88,9.80,0.00,0.00,5.88,0.00,0.00,0.00,3.92,1.96,1.96,11.76,0.00,7.84,0.00,3.92,3.92,0.00,3.92,0.00,0.00,0.00,1.96,1.96,0.00,1.96,0.00,0.00,0.00,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92,0.00
" don't use those cus those have steroids bilastine or xyzal are safe for liver  can use everyday etc xyzal is recommended for nighttime though trust me lol i took it everyday for almost  years",34,7.44,18.88,47.25,99.00,34.00,17.65,79.41,52.94,20.59,5.88,5.88,0.00,0.00,0.00,0.00,14.71,0.00,8.82,14.71,5.88,5.88,2.94,20.59,2.94,0.00,0.00,0.00,0.00,8.82,8.82,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,20.59,0.00,5.88,0.00,5.88,5.88,5.88,0.00,0.00,0.00,0.00,2.94,2.94,0.00,0.00,0.00,8.82,0.00,0.00,0.00,2.94,5.88,2.94,23.53,0.00,8.82,0.00,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,2.94,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00
" i dont need zyrtec to knock the fuck out lol sleepybitch",11,93.26,1.00,2.40,25.77,11.00,9.09,72.73,45.45,9.09,9.09,9.09,0.00,0.00,0.00,0.00,0.00,9.09,18.18,9.09,0.00,0.00,9.09,27.27,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" when you live the allergy life itus trial amp; error to find the right drug benedryl knocks me out zyrtec works perfectly claritin makes me sleepy amp; allegra only last an hour",32,89.84,50.00,74.76,81.93,32.00,15.62,68.75,31.25,9.38,9.38,6.25,0.00,3.12,0.00,0.00,0.00,9.38,6.25,0.00,6.25,3.12,0.00,12.50,3.12,0.00,3.12,0.00,0.00,3.12,3.12,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,9.38,3.12,3.12,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,15.62,3.12,12.50,0.00,0.00,6.25,0.00,6.25,0.00,3.12,0.00,0.00,12.50,0.00,15.62,0.00,6.25,9.38,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" zyrtec has never made me sleepy thatus why i prefer it over benadryl hmmm",14,5.89,1.67,89.63,25.77,14.00,7.14,78.57,50.00,21.43,14.29,14.29,0.00,0.00,0.00,0.00,7.14,0.00,7.14,7.14,14.29,0.00,7.14,14.29,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,7.14,14.29,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,7.14,7.14,0.00,14.29,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i didn't have any problems with zyrtec for years til one day i was driving to work and came close to sleeping at the wheel luckily it was only  min away from where i live and no traffic at all",40,72.69,6.70,99.00,25.77,40.00,12.50,92.50,57.50,10.00,7.50,7.50,0.00,0.00,0.00,0.00,2.50,2.50,22.50,10.00,5.00,7.50,5.00,17.50,2.50,0.00,2.50,2.50,5.00,5.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,2.50,5.00,2.50,2.50,0.00,0.00,0.00,0.00,5.00,2.50,2.50,0.00,0.00,5.00,0.00,2.50,0.00,0.00,2.50,10.00,7.50,0.00,27.50,5.00,12.50,10.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00
