Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" friends with skills are the best being able to  your pharmacist friend with if i take (this many) zyrtec will i die? is a privilege",25,63.83,65.56,1.59,99.00,12.50,12.00,96.00,56.00,16.00,12.00,8.00,0.00,4.00,0.00,0.00,4.00,8.00,12.00,16.00,0.00,4.00,0.00,24.00,4.00,4.00,0.00,0.00,4.00,8.00,8.00,0.00,0.00,0.00,0.00,12.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,28.00,8.00,12.00,8.00,8.00,0.00,0.00,16.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00
" hello zyrtec my old friendniuve come to sniff with you againnbecause sneezing softly creepingnleft itus seeds while l was sleepingnand the vision that was planted in my nose is juxtaposed withnthe smells of springtime",34,80.67,61.58,28.81,25.77,34.00,26.47,58.82,38.24,11.76,8.82,5.88,0.00,2.94,0.00,0.00,2.94,2.94,11.76,8.82,0.00,2.94,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,2.94,2.94,2.94,0.00,0.00,0.00,2.94,2.94,0.00,0.00,0.00,0.00,5.88,5.88,0.00,11.76,2.94,2.94,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" top  brands on fox news (feb )nnutrisystem mnotezla 0mnjenny craig knsleep number knindeed knsouth beach diet knsmile direct club knliberty mutual kngeico kninogen k",24,96.33,50.00,7.84,25.77,24.00,41.67,29.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,4.17,8.33,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,4.17,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00
" was hoping to get through the day without taking a zyrtec until later this evening because they tend to make me sleepy but i am giving in my allergies are driving me crazy allergies sneezinglikecrazy ihateallergies wateryeyes",37,70.25,8.84,92.70,75.85,37.00,27.03,89.19,51.35,16.22,13.51,10.81,0.00,0.00,0.00,2.70,2.70,5.41,16.22,8.11,0.00,8.11,2.70,24.32,8.11,2.70,0.00,0.00,0.00,8.11,5.41,2.70,0.00,0.00,0.00,5.41,0.00,0.00,0.00,0.00,13.51,0.00,5.41,2.70,2.70,0.00,5.41,0.00,0.00,0.00,0.00,8.11,2.70,5.41,0.00,0.00,5.41,0.00,0.00,0.00,5.41,0.00,2.70,13.51,2.70,16.22,2.70,2.70,10.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i think that there was zyrtec in the poisoned apple that made snow white sleep so long she got violated by that pervy prince by the way that really is a fucked up story zyrtechangover morning",36,69.30,50.00,39.76,1.00,36.00,11.11,88.89,50.00,16.67,5.56,2.78,0.00,0.00,2.78,0.00,11.11,8.33,11.11,5.56,8.33,2.78,0.00,16.67,5.56,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,8.33,0.00,8.33,0.00,0.00,2.78,2.78,8.33,2.78,2.78,0.00,0.00,0.00,2.78,2.78,2.78,0.00,0.00,11.11,2.78,2.78,5.56,0.00,5.56,0.00,0.00,2.78,2.78,0.00,11.11,5.56,0.00,13.89,0.00,11.11,2.78,0.00,0.00,0.00,0.00,0.00,0.00,2.78,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" fever could indicate flu for me i am just dealing with seasonal change sinus fuckery or so i hope zyrtecd is a godsend",23,24.89,1.56,27.39,25.77,23.00,26.09,82.61,52.17,13.04,13.04,13.04,0.00,0.00,0.00,0.00,0.00,4.35,8.70,13.04,8.70,8.70,0.00,17.39,0.00,0.00,0.00,0.00,0.00,8.70,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,17.39,0.00,4.35,8.70,8.70,0.00,4.35,0.00,0.00,0.00,0.00,13.04,0.00,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,4.35,8.70,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" ium super allergic to cats but ended up with  rescues anyway so i take zyrtec it works and thereus no side effects my  furry girls sleep next to me in my bednjeff can enjoy your living room with you and your kittiesuddudeb",42,41.91,59.40,89.63,95.81,42.00,14.29,80.95,50.00,19.05,16.67,9.52,0.00,7.14,0.00,0.00,2.38,0.00,14.29,2.38,4.76,9.52,2.38,9.52,4.76,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,9.52,0.00,0.00,2.38,0.00,4.76,2.38,2.38,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,7.14,2.38,4.76,0.00,0.00,9.52,0.00,4.76,2.38,2.38,0.00,2.38,7.14,0.00,14.29,0.00,9.52,4.76,2.38,0.00,2.38,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" yuall donut ever take zyrtec without food cause fuck bud i want to die ium so nauseous",17,59.32,3.89,6.20,1.00,17.00,11.76,76.47,29.41,5.88,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,11.76,5.88,5.88,23.53,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,5.88,0.00,5.88,0.00,5.88,0.00,0.00,23.53,0.00,5.88,5.88,0.00,5.88,5.88,0.00,0.00,0.00,0.00,17.65,0.00,5.88,5.88,5.88,11.76,5.88,0.00,0.00,5.88,0.00,0.00,23.53,0.00,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,5.88,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i currently use (otc)nfexofenadineu00a0(allegra)nbut there's a new one callednxyzalni have to change every few years nor seasonsnclarinex is a prescription claritinnany ones that ends in dncontains the same ingredient asnsudafed",33,80.14,18.16,85.21,25.77,33.00,30.30,69.70,33.33,6.06,3.03,3.03,0.00,0.00,0.00,0.00,3.03,9.09,6.06,9.09,3.03,3.03,3.03,12.12,9.09,3.03,0.00,3.03,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.12,0.00,6.06,0.00,0.00,3.03,3.03,0.00,0.00,0.00,0.00,3.03,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,0.00,21.21,3.03,3.03,15.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03,12.12,0.00
" you can become dependent on zyrtec and   see full gt;gt;  retweetnnhealth healthyfood healthylifestyle healthychoices healthyliving healthylife healthybody healthcare healthiswealth healthydiet healthandfitness healthandwellness ",23,71.39,80.77,9.25,25.77,23.00,56.52,39.13,21.74,4.35,4.35,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,8.70,0.00,4.35,0.00,8.70,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,4.35,0.00,0.00,0.00,13.04,0.00,8.70,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,8.70,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" you can become dependent on zyrtec and   see full gt;gt;  retweetnnhealth healthyfood healthylifestyle healthychoices healthyliving healthylife healthybody healthcare healthiswealth healthydiet healthandfitness healthandwellness ",23,71.39,80.77,9.25,25.77,23.00,56.52,39.13,21.74,4.35,4.35,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,8.70,0.00,4.35,0.00,8.70,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,4.35,0.00,0.00,0.00,13.04,0.00,8.70,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,8.70,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i've been stuck on trips sleep overs etc where i've had to explain my sudden and dire need to get to a cvs the easiest way to explain the issue is saying jokingly i'm addicted the zyrtec it's a bit embarrassing this to admit but it's really true i cant live without it",53,50.56,12.88,96.73,61.55,53.00,13.21,88.68,54.72,16.98,9.43,9.43,0.00,0.00,0.00,0.00,7.55,9.43,13.21,15.09,3.77,3.77,3.77,32.08,5.66,1.89,1.89,0.00,1.89,5.66,3.77,1.89,1.89,0.00,0.00,9.43,0.00,0.00,0.00,0.00,16.98,5.66,0.00,1.89,0.00,1.89,7.55,1.89,0.00,1.89,0.00,5.66,1.89,3.77,0.00,0.00,1.89,0.00,0.00,0.00,1.89,0.00,5.66,24.53,0.00,11.32,1.89,7.55,1.89,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.43,0.00,0.00
" i used to live off zyrtec bc of allergies as a kid and it never made me sleepy lol",19,64.39,14.62,50.35,97.58,19.00,5.26,94.74,57.89,15.79,10.53,10.53,0.00,0.00,0.00,0.00,5.26,5.26,21.05,0.00,5.26,15.79,5.26,15.79,10.53,5.26,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,21.05,0.00,15.79,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,15.79,5.26,10.53,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,10.53,5.26,0.00,10.53,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" here's my plan ) take zyrtec and live my entire life exhausted ) give up on zyrtec because i'm so tired all the time ) stop sleeping at night because i can't breathe and live my entire life exhausted ) repeatnncare to join?",39,43.96,6.21,98.01,1.00,39.00,17.95,94.87,43.59,12.82,12.82,12.82,0.00,0.00,0.00,0.00,0.00,2.56,10.26,2.56,5.13,12.82,2.56,20.51,5.13,0.00,0.00,0.00,7.69,5.13,0.00,5.13,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,15.38,0.00,5.13,0.00,0.00,7.69,2.56,0.00,0.00,0.00,0.00,23.08,5.13,17.95,0.00,0.00,12.82,2.56,2.56,2.56,2.56,2.56,0.00,20.51,2.56,17.95,0.00,7.69,10.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.51,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,7.69,10.26,0.00
" claritin d used to work for me but when the meth wars made it a hassle to buy i switched to something without the sudafed component combined they work better that either does alonennsomehow i ended up with zyrtec recently because of stories zyrtec was addictive i stopped",48,81.63,10.58,74.76,25.77,48.00,27.08,77.08,50.00,16.67,10.42,8.33,0.00,0.00,0.00,2.08,6.25,6.25,16.67,4.17,2.08,6.25,2.08,12.50,6.25,6.25,2.08,0.00,2.08,4.17,2.08,2.08,0.00,2.08,0.00,4.17,0.00,0.00,0.00,0.00,14.58,0.00,6.25,0.00,2.08,0.00,6.25,0.00,0.00,0.00,0.00,2.08,0.00,2.08,0.00,0.00,12.50,0.00,6.25,4.17,2.08,2.08,10.42,6.25,0.00,10.42,0.00,2.08,8.33,4.17,0.00,0.00,2.08,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" no amount of dayquil or zyrtec d has stopped the pressure in my head since last night and i deadass feel like ium ascending on a plane bc of how plugged my ears areuddudeuddudeuddudeuddudeuddude",34,85.92,7.08,99.00,1.76,34.00,20.59,76.47,50.00,8.82,8.82,8.82,0.00,0.00,0.00,0.00,0.00,5.88,17.65,2.94,2.94,11.76,2.94,8.82,0.00,2.94,2.94,0.00,2.94,2.94,0.00,2.94,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.71,2.94,8.82,0.00,2.94,0.00,2.94,5.88,0.00,2.94,2.94,5.88,5.88,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,2.94,2.94,5.88,0.00,20.59,0.00,5.88,14.71,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i take xyzal and use flonase daily i know nasal spray is unpleasant but it's hands down the medication i could never live without",24,11.86,1.00,98.01,1.00,24.00,16.67,87.50,50.00,16.67,12.50,12.50,0.00,0.00,0.00,0.00,4.17,4.17,8.33,12.50,4.17,8.33,8.33,29.17,12.50,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,4.17,4.17,4.17,0.00,4.17,8.33,8.33,0.00,0.00,4.17,16.67,8.33,8.33,0.00,0.00,8.33,0.00,0.00,4.17,4.17,0.00,0.00,25.00,0.00,12.50,0.00,4.17,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00
" zyrtec is the most useless fucking medicine on this planet",10,93.26,15.86,3.37,1.00,10.00,30.00,80.00,40.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,20.00,10.00,0.00,0.00,10.00,20.00,0.00,20.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,10.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" allegra works for me  zyrtec makes me sleepy  claritin is also popular  e different brands with different ingredients so it really just depends on what works for you  i use peppermint lavender and lemon oils too but they are temporary relief",41,17.29,23.22,56.30,96.29,41.00,24.39,78.05,48.78,17.07,12.20,7.32,0.00,2.44,0.00,2.44,4.88,0.00,9.76,4.88,12.20,9.76,0.00,17.07,9.76,4.88,2.44,0.00,0.00,4.88,4.88,0.00,0.00,0.00,0.00,7.32,0.00,0.00,0.00,0.00,19.51,0.00,7.32,0.00,4.88,0.00,9.76,2.44,0.00,0.00,0.00,2.44,2.44,0.00,0.00,0.00,4.88,0.00,4.88,0.00,0.00,0.00,0.00,17.07,0.00,4.88,0.00,2.44,2.44,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" raise your hand if spring makes you sneeze uddudcb lt;raises both hands and jumps aroundgt; ium excited to be partnering with (ad) to enjoy an al fresco meal with friends without sneezing all over the table zyrtecallergy ",38,96.93,78.51,9.58,97.58,38.00,21.05,65.79,34.21,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,5.26,15.79,2.63,0.00,5.26,2.63,7.89,2.63,0.00,0.00,0.00,5.26,5.26,5.26,0.00,0.00,0.00,0.00,10.53,0.00,5.26,0.00,0.00,10.53,0.00,2.63,2.63,2.63,2.63,5.26,5.26,0.00,0.00,5.26,7.89,5.26,0.00,0.00,2.63,10.53,5.26,0.00,2.63,2.63,0.00,0.00,7.89,0.00,10.53,2.63,5.26,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00
" had to take zyrtec for hay fever which has never been this badnntaken at nightadmittedly after food amp; wineit has stopped my rls amp; sleeplesness dead nni am sleeping",29,50.74,24.51,26.55,25.77,29.00,17.24,65.52,44.83,10.34,3.45,3.45,0.00,0.00,0.00,0.00,6.90,0.00,13.79,17.24,3.45,0.00,3.45,27.59,6.90,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,10.34,3.45,3.45,0.00,3.45,6.90,0.00,0.00,0.00,3.45,3.45,10.34,13.79,0.00,13.79,0.00,3.45,10.34,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" also charles i tapered ssri in partnership with both my primarycaremd amp; my lmhc therapistni strongly urge people to never attempt to taper off any med alone or without professional medical guidancen(even before tapering off zyrtec i shared wpcp) donotwhiteknuckleit",41,83.49,11.14,91.58,71.55,41.00,31.71,63.41,39.02,9.76,9.76,9.76,0.00,0.00,0.00,0.00,0.00,0.00,19.51,0.00,7.32,4.88,4.88,2.44,4.88,2.44,0.00,0.00,4.88,7.32,4.88,2.44,0.00,0.00,2.44,7.32,0.00,2.44,0.00,0.00,9.76,0.00,0.00,0.00,4.88,2.44,4.88,0.00,0.00,0.00,0.00,4.88,0.00,4.88,0.00,0.00,7.32,4.88,0.00,2.44,0.00,0.00,2.44,0.00,0.00,14.63,0.00,9.76,4.88,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.32,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00,4.88,0.00
" i seriously need the spring to end wtf with these allergies literally cannot breathe and my throat kills me even though i took zyrtec uddudeuddude can't keep living like this lol",31,20.95,1.00,78.86,1.23,31.00,16.13,90.32,51.61,19.35,12.90,12.90,0.00,0.00,0.00,0.00,6.45,3.23,9.68,3.23,9.68,6.45,6.45,16.13,0.00,3.23,0.00,0.00,0.00,9.68,3.23,6.45,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,12.90,0.00,0.00,3.23,0.00,0.00,9.68,0.00,0.00,0.00,0.00,12.90,6.45,6.45,0.00,0.00,3.23,0.00,0.00,0.00,3.23,0.00,3.23,12.90,0.00,6.45,0.00,0.00,6.45,0.00,0.00,0.00,0.00,0.00,3.23,6.45,3.23,6.45,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00
" oooof that is the worst i'm sorry friend season change is always the worst for this kinda stuff i basicly live on zyrtec to keep my skin from being a giant welt at all times lol",36,86.43,28.91,87.07,1.00,36.00,2.78,91.67,47.22,16.67,8.33,8.33,0.00,0.00,0.00,0.00,8.33,8.33,13.89,11.11,0.00,0.00,0.00,16.67,11.11,5.56,0.00,0.00,2.78,11.11,2.78,8.33,0.00,0.00,2.78,2.78,0.00,2.78,0.00,0.00,11.11,0.00,2.78,0.00,2.78,5.56,0.00,2.78,0.00,0.00,2.78,5.56,2.78,2.78,0.00,0.00,8.33,2.78,0.00,0.00,0.00,5.56,0.00,13.89,0.00,19.44,2.78,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00
" day  hrs sleep day  hrs sleep took zyrtec last night and i had hrs of sleep but a restless one now i am a red panda without energy to draw at least my eyebrow i'm gonna hybernate this weekend anyway ogetherwithikon ikonicselcaday ",42,62.04,4.80,98.01,25.77,42.00,16.67,78.57,40.48,11.90,9.52,9.52,0.00,0.00,0.00,0.00,2.38,4.76,9.52,7.14,4.76,4.76,2.38,14.29,4.76,2.38,0.00,2.38,2.38,4.76,2.38,2.38,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,4.76,4.76,4.76,0.00,0.00,9.52,9.52,0.00,0.00,0.00,2.38,0.00,0.00,0.00,2.38,0.00,4.76,7.14,2.38,19.05,2.38,2.38,14.29,0.00,2.38,0.00,0.00,0.00,0.00,4.76,0.00,2.38,0.00,0.00,2.38,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00
" i used to take zyrtec and it killed my energy levels; not sure if from allergy symptoms or the meds i just switched to flonase and its been a life changer no symptoms and no energy level impact",38,35.06,1.00,33.36,97.58,38.00,15.79,84.21,52.63,13.16,7.89,7.89,0.00,0.00,0.00,0.00,5.26,5.26,7.89,2.63,2.63,13.16,7.89,7.89,0.00,0.00,0.00,0.00,0.00,10.53,7.89,2.63,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,13.16,0.00,2.63,2.63,5.26,2.63,7.89,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,0.00,2.63,0.00,0.00,0.00,2.63,0.00,5.26,2.63,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" open the window and let the fresh air innnopens window and lets hella pollen in and can't go a day without taking zyrtecncloses window and never opens it againnfuck your fresh air",32,47.36,26.60,95.60,25.77,32.00,12.50,87.50,46.88,9.38,6.25,0.00,3.12,3.12,0.00,0.00,3.12,9.38,6.25,3.12,3.12,12.50,9.38,18.75,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,9.38,0.00,0.00,0.00,0.00,3.12,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,3.12,0.00,0.00,3.12,0.00,0.00,15.62,0.00,25.00,3.12,15.62,6.25,0.00,0.00,9.38,0.00,0.00,0.00,3.12,3.12,3.12,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00
" people without pet allergies always act like they know something you don't have you tried allergy meds? zyrtec is the best gee karen in my  years of life i never once tried the number one leading allergy medication recommended by dr's everywhere thanks for the tip",46,76.43,58.59,68.63,93.61,23.00,19.57,82.61,43.48,13.04,10.87,4.35,0.00,4.35,0.00,2.17,2.17,6.52,13.04,6.52,4.35,0.00,6.52,15.22,2.17,4.35,0.00,4.35,0.00,4.35,4.35,0.00,0.00,0.00,0.00,10.87,0.00,0.00,0.00,0.00,15.22,2.17,2.17,0.00,2.17,6.52,2.17,0.00,0.00,0.00,0.00,10.87,0.00,10.87,0.00,0.00,8.70,0.00,8.70,4.35,2.17,0.00,4.35,10.87,0.00,15.22,2.17,4.35,8.70,2.17,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.52,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.00,4.35,0.00,0.00
" i know i'm anxious about everything but nothing scares me more than when i sing slightly less good than usual logically i know it's because i forgot to take my fucking zyrtec but what if those notes never come back? then what???",42,1.30,1.00,99.00,1.00,21.00,16.67,92.86,59.52,28.57,16.67,16.67,0.00,0.00,0.00,0.00,11.90,0.00,9.52,4.76,9.52,14.29,4.76,21.43,16.67,9.52,7.14,0.00,4.76,9.52,2.38,7.14,4.76,2.38,0.00,2.38,0.00,0.00,0.00,0.00,28.57,7.14,2.38,2.38,2.38,7.14,11.90,2.38,0.00,2.38,0.00,2.38,0.00,0.00,2.38,0.00,4.76,0.00,0.00,0.00,4.76,0.00,2.38,19.05,2.38,14.29,2.38,2.38,11.90,0.00,2.38,0.00,0.00,0.00,0.00,2.38,2.38,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,4.76,0.00,0.00
" i feel like utter shit i have a zyrtec d tablet in me that i took at pm i have been properly caffeinated and hydrated and i wish i can just sleep for longer than  hours without wanting my head just to imploded in itself and kill me already ",49,34.50,1.00,97.35,1.00,49.00,14.29,81.63,61.22,22.45,18.37,18.37,0.00,0.00,0.00,0.00,4.08,2.04,16.33,8.16,6.12,6.12,2.04,14.29,4.08,6.12,0.00,0.00,0.00,4.08,0.00,4.08,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,10.20,2.04,0.00,4.08,0.00,0.00,4.08,2.04,0.00,0.00,2.04,6.12,6.12,0.00,0.00,0.00,2.04,0.00,0.00,0.00,2.04,0.00,6.12,8.16,2.04,12.24,0.00,8.16,4.08,0.00,0.00,0.00,0.00,0.00,2.04,2.04,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" thank you for this i had not seen this onenneverys journey is different i hate hearing that any struggled like thatnnphysical dependence happens w these meds but also anti depressants amp; others zyrtec allergy causes withdrawals if udduded suddenly that alone doesnutaddiction",42,14.58,11.70,37.24,1.00,42.00,33.33,73.81,42.86,21.43,7.14,4.76,0.00,2.38,0.00,0.00,14.29,0.00,4.76,4.76,4.76,7.14,2.38,14.29,4.76,4.76,0.00,0.00,2.38,11.90,2.38,9.52,2.38,2.38,4.76,4.76,0.00,0.00,0.00,0.00,16.67,0.00,2.38,2.38,4.76,0.00,11.90,4.76,2.38,2.38,0.00,2.38,0.00,2.38,0.00,0.00,2.38,0.00,0.00,2.38,0.00,0.00,4.76,9.52,0.00,4.76,2.38,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
